"country_name","country_code","year","year_fct","sdg_overall","spi_comp","sci_overall","di_score","regime_type_2","regime_type_4","regch_event","aut_ep","dem_ep","income_level","income_level_lab","gini","log_gdppc","population","p1_use","p2_services","p3_products","p4_sources","p5_infra","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal14","goal15","goal16","goal17"
"Afghanistan","AFG",2004,"2004",35.6535228715729,NA,24.44444444,NA,"0","1",0,0,1,"L","Low Income Countries",NA,5.40161219268759,24726689,20,NA,NA,NA,NA,9.7735,31.4242857142857,21.5762857142857,1.633,17.6925,15.5418,26.76325,44.3758571428571,5.00542857142857,NA,32.805,95.6038571428572,98.4163333333333,NA,56.1488,42.0545454545455,35.9884
"Afghanistan","AFG",2005,"2005",36.1178119191919,NA,31.11111111,NA,"0","1",0,0,1,"L","Low Income Countries",NA,5.53805939420774,25654274,20,NA,45.0125,NA,NA,12.807,35.0651428571429,22.1803571428571,1.633,17.6925,15.4676,24.7035,44.3721428571429,5.00542857142857,NA,34.555,95.5104285714286,98.5833333333333,NA,56.1488,42.0545454545455,35.9884
"Afghanistan","AFG",2006,"2006",36.5285431890332,NA,32.22222222,3.06,"0","1",0,0,1,"L","Low Income Countries",NA,5.61392542931756,26433058,20,NA,45.80625,NA,NA,14.022,35.419,23.9860714285714,1.633,17.6925,16.9812,26.60675,44.365,5.00542857142857,NA,33.4555,95.7982857142857,98.7716666666667,NA,56.1488,42.0545454545455,35.9884
"Afghanistan","AFG",2007,"2007",37.2218525541126,NA,34.44444444,NA,"0","1",0,0,0,"L","Low Income Countries",NA,5.93018245670644,27100542,20,NA,47.8875,NA,NA,18.3035,38.2247142857143,24.6034285714286,1.633,17.6925,19.7364,26.782,44.3712857142857,5.00542857142857,NA,33.9355,95.6652857142857,98.783,NA,56.1488,42.0545454545455,35.3884
"Afghanistan","AFG",2008,"2008",36.5999244588745,NA,45.55555556,3.02,"0","1",0,0,0,"L","Low Income Countries",NA,5.94472203481778,27722281,20,NA,50.95,NA,NA,19.1675,36.3778571428571,24.4245,1.633,17.89725,22.5208,15.952,44.3604285714286,5.00542857142857,NA,33.3935,95.4258571428571,98.877,NA,56.1488,42.0545454545455,35.7604
"Afghanistan","AFG",2009,"2009",38.2435184271284,NA,46.66666667,NA,"0","1",0,0,0,"L","Low Income Countries",NA,6.11380099025187,28394806,20,NA,50.20625,NA,NA,25.548,40.9758571428571,29.2096428571429,1.633,17.89725,28.2326,15.8215,44.3818571428571,5.21457142857143,NA,35.113,94.8722857142857,98.8056666666667,NA,57.3132,42.0545454545455,36.5798
"Afghanistan","AFG",2010,"2010",38.3485894660895,NA,52.22222222,2.48,"0","1",0,0,0,"L","Low Income Countries",NA,6.32904599957178,29185511,20,NA,46.65625,NA,NA,29.323,40.511,31.4207142857143,1.633,17.6925,24.9894,15.1025,44.3757142857143,7.07142857142857,NA,33.7085,94.59,96.3986666666667,NA,57.3132,46.0308181818182,35.0684
"Afghanistan","AFG",2011,"2011",38.1791251515151,NA,51.11111111,2.48,"0","1",0,0,0,"L","Low Income Countries",NA,6.40802566006222,30117411,20,NA,47.91875,NA,NA,28.3995,38.5744285714286,29.5423571428571,1.633,17.89725,25.9046,15.558,44.3731428571429,7.21757142857143,NA,33.1045,93.656,98.319,NA,57.3132,45.8567272727273,35.3376
"Afghanistan","AFG",2012,"2012",39.2869615584416,NA,50,2.48,"0","1",0,0,0,"L","Low Income Countries",NA,6.4791501966104,31161378,30,NA,49.16875,NA,NA,31.1765,40.1791428571429,29.3916428571428,1.633,17.89725,29.4892,23.8495,44.3697142857143,8.12814285714286,NA,35.07525,93.9535714285714,98.434,NA,57.2632,45.3299090909091,33.1344
"Afghanistan","AFG",2013,"2013",39.6570526695527,NA,53.33333333,2.48,"0","1",0,0,0,"L","Low Income Countries",NA,6.45690637950602,32269592,30,NA,49.7375,NA,NA,31.772,39.4525714285714,30.1372857142857,1.633,18.126,32.3868,24.35125,44.3682857142857,8.18128571428572,NA,34.68825,94.4012857142857,98.4976666666667,NA,57.2632,45.3299090909091,34.267
"Afghanistan","AFG",2014,"2014",40.4799064935065,NA,54.44444444,2.77,"0","1",0,0,0,"L","Low Income Countries",NA,6.43783955275282,33370804,30,NA,49.3125,NA,NA,31.503,38.9822857142857,31.461,1.633,18.6135,34.6314,31.52375,44.5222857142857,7.39271428571428,NA,34.49075,94.5618571428572,98.603,NA,57.2632,47.3884545454546,34.6284
"Afghanistan","AFG",2015,"2015",41.5124087301587,NA,51.1111,2.77,"0","1",0,0,0,"L","Low Income Countries",NA,6.3378335954699,34413603,50,NA,53.56875,25.4416666666667,NA,30.885,39.1714285714286,33.5193571428572,17.4635,19.13175,36.6188,26.58375,44.9268571428572,7.94171428571429,NA,34.63025,94.8438571428571,98.6766666666667,NA,57.2632,46.833,34.197
"Afghanistan","AFG",2016,"2016",44.3111464935065,39.39625,51.1111,2.55,"0","1",0,1,0,"L","Low Income Countries",NA,6.25782507663006,35383028,70,6.73333333333333,54.80625,25.4416666666667,40,30.5965,37.9625714285714,34.5322142857143,38.513,19.68175,39.9494,34.974,44.3165714285714,9.603,NA,34.15325,95.2942857142857,98.801,NA,60.7642,47.8064545454545,37.719
"Afghanistan","AFG",2017,"2017",45.0252526984127,44.75125,51.1111,2.55,"0","1",0,1,0,"L","Low Income Countries",NA,6.26429266420951,36296111,70,24.0333333333333,70.43125,19.2916666666667,40,30.4905,36.4868571428571,35.3785714285714,39.8375,20.26575,41.3612,35.21225,45.7212857142857,10.3438571428571,NA,34.355,94.9682857142857,98.8573333333333,NA,65.2614,47.666,39.173
"Afghanistan","AFG",2018,"2018",45.5087805916306,52.0183333333333,50,2.97,"0","1",0,1,0,"L","Low Income Countries",NA,6.19713069734701,37171922,70,59.9,68.75,21.4416666666667,40,29.9595,40.6278571428571,36.9478571428571,41.0835,21.1835,42.2046,33.934,46.5628571428571,11.1022857142857,NA,33.17775,95.0475714285714,98.6106666666667,NA,65.2614,45.9373636363636,40.991
"Afghanistan","AFG",2019,"2019",46.171753968254,51.9295833333333,50,2.85,"0","1",0,1,0,"L","Low Income Countries",NA,6.20778991595301,38041757,70,59.9,68.30625,21.4416666666667,40,30.3085,39.651,36.4287857142857,42.9035,23.89,44.7332,35.741,46.4605714285714,11.2837142857143,NA,35.3,95.0735714285714,98.5456666666667,NA,65.2212,46.135,40.9006
"Afghanistan","AFG",2020,"2020",47.5132427561327,55.56,57.7778,2.85,"0","1",0,1,0,"L","Low Income Countries",NA,6.23595279768262,38928341,80,59.4333333333333,72.15,21.2166666666667,45,28.626,38.3937142857143,37.2816428571429,42.9035,26.453,48.9904,35.94125,46.8605714285714,11.2271428571429,NA,35.78,95.3185714285714,98.8546666666667,NA,77.5108,45.4991818181818,43.0582
"Afghanistan","AFG",2021,"2021",46.2430441702742,59.1775,NA,0.32,"0","1",0,1,0,"L","Low Income Countries",NA,5.87632362016262,39835428,80,59.4333333333333,78.6375,22.8166666666667,55,19.606,37.7247142857143,34.9837857142857,35.23,28.87875,49.8324,36.59,45.1402857142857,11.1971428571429,NA,34.3705,95.4607142857143,98.8963333333333,NA,77.5108,44.7376363636364,43.4866
"Afghanistan","AFG",2022,"2022",45.4595802886003,59.3283333333333,NA,0.32,"0","0",0,1,0,"L","Low Income Countries",NA,5.87846703479715,41128771,80,60,74.15,27.4916666666667,55,16.794,37.5927142857143,35.8687142857143,35.23,17.53875,51.0218,36.59,42.8585714285714,16.6058571428571,NA,34.50975,95.5035714285714,98.9146666666667,NA,77.4748,41.9039090909091,43.4866
"Afghanistan","AFG",2023,"2023",48.236203692386,57.0895833333333,NA,0.26,"0","0",0,1,0,"L","Low Income Countries",NA,6.02998168853387,NA,66.6,60,76.35625,27.4916666666667,55,5.1265,37.5927142857143,36.3981428571429,35.23,17.53875,51.1754,36.59,41.597,16.1234285714286,NA,34.50975,95.5407142857143,98.9146666666667,NA,77.4748,41.4229090909091,43.4866
"Angola","AGO",2004,"2004",47.0961107333843,NA,41.11111111,NA,"0","0",0,0,0,"LM","Lower-Middle Income Countries",NA,7.14378414807638,18758138,20,NA,NA,NA,NA,46.247,46.44825,23.3435,41.6275,35.6755,46.2486,15.56175,58.9875714285714,12.5041428571429,15.493,48.60925,94.021,92.6106666666667,67.2613333333333,62.5716,37.7038181818182,55.7194
"Angola","AGO",2005,"2005",46.9905820919277,NA,45.55555556,NA,"0","0",0,0,0,"LM","Lower-Middle Income Countries",NA,7.55823940777383,19433604,20,NA,59.50625,NA,NA,47.018,46.994375,23.5871428571429,41.6275,35.918,46.497,16.6135,58.9711428571429,12.5161428571429,15.493,48.17675,93.6538571428571,92.3843333333333,66.5203333333333,62.5716,37.7038181818182,52.5934
"Angola","AGO",2006,"2006",48.1340394448688,NA,45.55555556,2.41,"0","0",0,0,0,"LM","Lower-Middle Income Countries",NA,7.86980375712861,20149905,20,NA,59.74375,NA,NA,53.703,46.3425,24.1142857142857,41.6275,36.3585,47.053,17.54575,59.0715714285714,12.5161428571429,15.493,48.73575,93.6562857142857,92.464,65.9171666666667,62.5716,37.7038181818182,63.4048
"Angola","AGO",2007,"2007",48.4699239686784,NA,42.22222222,NA,"0","0",0,0,0,"LM","Lower-Middle Income Countries",NA,8.05231113808161,20905360,20,NA,62.75,NA,NA,53.6485,46.318125,26.9145714285714,41.6275,36.8035,47.5762,20.683,58.9404285714286,12.5161428571429,15.493,47.96225,93.2655714285714,91.8706666666667,66.3658333333333,62.5216,37.7038181818182,63.778
"Angola","AGO",2008,"2008",50.2050477782022,NA,42.22222222,3.35,"0","0",0,0,1,"LM","Lower-Middle Income Countries",0.42715514,8.31948999745184,21695636,20,NA,65.2625,NA,NA,57.64,46.495625,26.3577857142857,41.6275,37.2505,47.1564,24.6605,58.6611428571429,12.5161428571429,39.4355,46.32225,92.3917142857143,90.314,68.0933333333333,62.5216,37.7038181818182,64.338
"Angola","AGO",2009,"2009",50.3658663356252,NA,45.55555556,NA,"0","0",0,0,1,"LM","Lower-Middle Income Countries",NA,8.05090918618391,22514275,20,NA,63.95,NA,NA,53.653,50.4155,27.1258571428571,41.13325,49.122,47.8972,25.10825,58.4965714285714,12.5307142857143,39.4355,47.4075,92.249,89.66,67.7891666666667,62.5216,37.7038181818182,53.9708
"Angola","AGO",2010,"2010",51.1846956773619,NA,45.55555556,3.32,"0","1",0,0,1,"LM","Lower-Middle Income Countries",NA,8.18795077748872,23356247,40,NA,64.375,NA,NA,53.9695,53.385375,30.6129285714286,41.47375,50.24075,48.5072,25.7965,58.6371428571429,8.95442857142857,39.4355,44.652,92.928,90.742,68.6853333333333,62.5216,37.7038181818182,61.894
"Angola","AGO",2011,"2011",51.850939763178,NA,47.77777778,3.32,"0","1",0,0,1,"UM","Upper-Middle Income Countries",NA,8.43726444014942,24220660,40,NA,69.23125,NA,NA,53.1085,55.8695,31.5764285714286,42.37875,50.04125,48.8984,26.18975,58.3668571428571,9.273,39.4355,46.233,92.5322857142857,90.421,67.3545,63.3874,41.3564545454545,65.0434
"Angola","AGO",2012,"2012",52.1206834733894,NA,50,3.35,"0","1",0,0,0,"UM","Upper-Middle Income Countries",NA,8.53425233350196,25107925,40,NA,68.15,NA,NA,51.9175,53.81475,32.1750714285714,42.37875,50.31375,49.7524,30.17,58.5001428571429,15.6,39.4355,45.15025,92.5675714285714,90.17,67.3623333333333,63.3874,41.24,62.1162
"Angola","AGO",2013,"2013",52.3070045581869,NA,47.77777778,3.35,"0","1",0,0,0,"UM","Upper-Middle Income Countries",NA,8.52867657980329,26015786,40,NA,65.15,NA,NA,50.384,56.45975,32.0551428571428,42.37875,48.68825,50.1926,31.673,58.502,16.8562857142857,39.4355,45.30625,92.4081428571428,90.4476666666666,66.6766666666667,63.3874,41.3602727272727,63.0074
"Angola","AGO",2014,"2014",51.8765730328495,NA,48.88888889,3.35,"0","1",0,0,0,"UM","Upper-Middle Income Countries",NA,8.5183924202538,26941773,40,NA,66.4125,NA,NA,50.1575,54.5375,32.5730714285714,42.37875,50.54475,50.785,32.5355,56.9531428571429,16.1347142857143,39.4355,45.06,92.1812857142857,90.7783333333334,65.6681666666667,63.3874,40.7577272727273,58.0334
"Angola","AGO",2015,"2015",51.9608625859435,NA,47.77776667,3.35,"0","1",0,0,0,"UM","Upper-Middle Income Countries",NA,8.07524124434489,27884380,60,NA,67.33125,38.4916666666667,NA,52.724,55.299875,32.7299285714286,42.37875,49.32625,51.3914,35.1155,57.0595714285714,16.3441428571429,39.4355,44.84425,92.5207142857143,91.0206666666667,69.5753333333333,63.3874,40.1131818181818,50.0682
"Angola","AGO",2016,"2016",52.0509793926662,47.3954166666667,42.22216667,3.4,"0","1",0,0,0,"LM","Lower-Middle Income Countries",NA,7.49995051240542,28842482,80,7.66666666666667,70.44375,38.8666666666667,40,48.6075,55.372875,32.6720714285714,45.97875,49.51075,52.759,37.46375,57.2284285714286,16.6517142857143,39.4355,43.6685,93.2704285714286,92.371,68.51,63.3374,40.4981818181818,47.5308
"Angola","AGO",2017,"2017",52.0515944932518,48.6895833333333,45.5555,3.62,"0","1",0,0,0,"LM","Lower-Middle Income Countries",NA,7.7986296183204,29816769,70,24.4,70.88125,38.1666666666667,40,42.324,55.007125,33.2245714285714,45.97875,50.41425,52.8724,39.25925,57.1578571428571,17.1605714285714,39.4355,44.93975,93.0878571428571,92.4936666666667,69.1846666666667,63.3374,40.5180909090909,48.4814
"Angola","AGO",2018,"2018",50.6104285268653,54.5720833333333,42.22223333,3.62,"0","1",0,0,0,"LM","Lower-Middle Income Countries",0.51263994,7.83936463570906,30809787,70,57.3,69.99375,35.5666666666667,40,37.84,55.056125,34.7968571428571,45.97875,46.65825,53.3342,42.556,57.2351428571429,16.3961428571429,16.479,43.11375,92.7071428571429,92.9663333333333,67.3175,63.3374,40.9100909090909,53.6946
"Angola","AGO",2019,"2019",50.7814629742806,57.9525,48.8889,3.72,"0","1",0,0,0,"LM","Lower-Middle Income Countries",NA,7.69159093662183,31825299,80,57.3,68.5625,43.9,40,36.123,54.699,35.2605714285714,45.97875,46.59225,53.5642,44.75425,55.9034285714286,17.1754285714286,16.479,42.43225,93.3248571428571,93.3526666666667,67.566,65.5366,40.9908181818182,53.5518
"Angola","AGO",2020,"2020",51.0719539979628,59.17,45.55556667,3.66,"0","1",0,0,0,"LM","Lower-Middle Income Countries",NA,7.27926563882729,32866268,80,62.7,69.9,48.25,35,30.0425,53.92975,34.968,45.97875,46.74075,54.7762,46.96075,57.4022857142857,17.6918571428571,16.479,43.26325,94.5312857142857,94.0303333333333,67.4188333333333,65.5366,42.3942727272727,56.0788
"Angola","AGO",2021,"2021",51.2970266042781,60.45625,NA,3.37,"0","1",0,0,0,"LM","Lower-Middle Income Countries",NA,7.56313551287804,33933611,80,62.7,71.33125,48.25,40,31.075,53.337875,37.4133571428571,45.97875,46.862,54.9106,47.2085,58.0114285714286,18.0627142857143,16.479,43.604,94.418,94.4556666666667,67.2788333333333,65.5366,42.8217272727273,54.5954
